Faktura-ID,Leverandør-ID,Fakturabeløp (NOK),Fakturadato,Forfallsdato,Faktisk betalingsdato,Betalingsstatus,Dager forsinket,Betalingsbetingelser,INCOTERMS,Kontrakttype,Leverandørkategori,Gj.snitt dager forsinket (leverandør),Antall fakturaer (leverandør),Risikokategori leverandør
FAK-0171,LEV-016,136200,2023-07-10,2023-09-08,2023-09-01,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0172,LEV-014,129200,2023-07-10,2023-08-24,2023-08-19,Betalt,0,Netto 45,EXW,Rammeavtale,IT,4.4,29,Medium
FAK-0173,LEV-006,59300,2023-07-10,2023-09-08,2023-09-04,Betalt,0,Netto 60,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0174,LEV-015,343100,2023-07-14,2023-07-24,2023-07-17,Betalt,0,Netto 10,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0175,LEV-025,48400,2023-07-15,2023-07-25,2023-07-25,Betalt,0,Netto 10,DPU,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0176,LEV-038,289700,2023-07-15,2023-10-13,2023-10-31,Forsinket,18,Netto 90,DDP,Rammeavtale,Energi,16.6,44,Høy
FAK-0177,LEV-017,773100,2023-07-15,2023-09-13,2023-10-20,Forsinket,37,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0178,LEV-004,606000,2023-07-15,2023-10-13,2023-10-13,Betalt,0,Netto 90,DPU,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0179,LEV-012,116300,2023-07-16,2023-10-14,2023-10-28,Forsinket,14,Netto 90,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0180,LEV-020,174000,2023-07-19,2023-10-17,2023-10-15,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,Energi,4.0,13,Medium
FAK-0181,LEV-027,169600,2023-07-19,2023-07-29,2023-07-24,Betalt,0,Netto 10,CPT,Åpen anbudskonkurranse,IT,3.2,14,Medium
FAK-0182,LEV-032,1082000,2023-07-19,2023-08-18,2023-10-03,Forsinket,46,Netto 30,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0183,LEV-038,41500,2023-07-19,2023-10-17,2023-11-28,Forsinket,42,Netto 90,DDP,Rammeavtale,Energi,16.6,44,Høy
FAK-0184,LEV-001,100100,2023-07-22,2023-10-20,2023-10-19,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0185,LEV-040,51800,2023-07-25,2023-08-24,2023-08-14,Betalt,0,Netto 30,CIF,Enkeltkontrakt,Vedlikehold,12.6,19,Høy
FAK-0186,LEV-015,410800,2023-07-25,2023-08-04,2023-08-03,Betalt,0,Netto 10,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0187,LEV-009,13800,2023-07-26,2023-09-09,2023-08-30,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0188,LEV-015,1338500,2023-07-28,2023-08-07,2023-08-01,Betalt,0,Netto 10,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0189,LEV-012,200900,2023-07-29,2023-10-27,2023-10-20,Betalt,0,Netto 90,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0190,LEV-024,107300,2023-07-30,2023-08-09,2023-08-02,Betalt,0,Netto 10,DPU,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0191,LEV-039,47500,2023-07-31,2023-09-29,2023-09-28,Betalt,0,Netto 60,DPU,Enkeltkontrakt,Transport,9.4,8,Medium
FAK-0192,LEV-009,91100,2023-08-01,2023-09-15,2023-09-13,Betalt,0,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0193,LEV-034,744900,2023-08-01,2023-08-11,2023-08-02,Betalt,0,Netto 10,DAP,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0194,LEV-040,51800,2023-08-01,2023-08-31,2023-10-14,Forsinket,44,Netto 30,CIF,Enkeltkontrakt,Vedlikehold,12.6,19,Høy
FAK-0195,LEV-009,79100,2023-08-02,2023-09-16,2023-09-07,Betalt,0,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0196,LEV-034,1128000,2023-08-05,2023-08-19,2023-08-16,Betalt,0,Netto 14,CPT,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0197,LEV-004,169600,2023-08-06,2023-11-04,2023-12-24,Forsinket,50,Netto 90,DPU,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0198,LEV-020,216000,2023-08-06,2023-11-04,2023-10-31,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,Energi,4.0,13,Medium
FAK-0199,LEV-009,89300,2023-08-06,2023-09-20,2023-09-11,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0200,LEV-032,1196200,2023-08-07,2023-08-21,2023-08-21,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0201,LEV-016,475900,2023-08-08,2023-10-07,2023-10-06,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0202,LEV-004,799000,2023-08-08,2023-11-06,2023-12-11,Forsinket,35,Netto 90,DPU,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0203,LEV-007,756200,2023-08-08,2023-09-07,2023-10-05,Forsinket,28,Netto 30,CIP,Rammeavtale,IT,14.7,25,Høy
FAK-0204,LEV-014,756500,2023-08-13,2023-09-27,2023-09-27,Betalt,0,Netto 45,EXW,Rammeavtale,IT,4.4,29,Medium
FAK-0205,LEV-010,6700,2023-08-14,2023-08-24,2023-08-18,Betalt,0,Netto 10,DDP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0206,LEV-004,500800,2023-08-16,2023-11-14,2023-12-04,Forsinket,20,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0207,LEV-022,23600,2023-08-16,2023-08-30,2023-08-30,Betalt,0,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0208,LEV-021,487500,2023-08-16,2023-09-15,2023-09-15,Betalt,0,Netto 30,CFR,Enkeltkontrakt,Bygg,2.4,5,Medium
FAK-0209,LEV-026,104100,2023-08-16,2023-09-15,2023-09-05,Betalt,0,Netto 30,FCA,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0210,LEV-010,27500,2023-08-19,2023-08-29,2023-10-10,Forsinket,42,Netto 10,DDP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0211,LEV-012,123900,2023-08-19,2023-10-18,2023-10-11,Betalt,0,Netto 60,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0212,LEV-006,65000,2023-08-19,2023-08-29,2023-10-28,Forsinket,60,Netto 10,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0213,LEV-017,566900,2023-08-19,2023-09-02,2023-08-26,Betalt,0,Netto 14,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0214,LEV-006,118800,2023-08-20,2023-08-30,2023-08-21,Betalt,0,Netto 10,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0215,LEV-017,561800,2023-08-20,2023-10-19,2023-10-13,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0216,LEV-015,571200,2023-08-21,2023-09-20,2023-09-12,Betalt,0,Netto 30,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0217,LEV-005,752000,2023-08-23,2023-09-02,2023-08-29,Betalt,0,Netto 10,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0218,LEV-004,785900,2023-08-23,2023-11-21,2023-11-14,Betalt,0,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0219,LEV-028,137600,2023-08-23,2023-09-06,2023-09-03,Betalt,0,Netto 14,DDP,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0220,LEV-012,546600,2023-08-26,2023-11-24,2023-12-03,Forsinket,9,Netto 90,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0221,LEV-015,280000,2023-08-26,2023-09-05,2023-09-03,Betalt,0,Netto 10,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0222,LEV-003,327200,2023-08-26,2023-11-24,2023-11-21,Betalt,0,Netto 90,FOB,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0223,LEV-017,130100,2023-08-27,2023-09-10,2023-09-30,Forsinket,20,Netto 14,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0224,LEV-005,627700,2023-08-28,2023-09-27,2023-09-20,Betalt,0,Netto 30,CFR,Rammeavtale,IT,7.4,33,Medium
FAK-0225,LEV-008,15500,2023-08-29,2023-09-28,2023-09-21,Betalt,0,Netto 30,CIP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0226,LEV-003,310200,2023-08-31,2023-11-29,2023-11-28,Betalt,0,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0227,LEV-030,323300,2023-09-01,2023-09-11,2023-09-07,Betalt,0,Netto 10,FCA,Rammeavtale,Konsulenttjenester,10.3,17,Høy
FAK-0228,LEV-027,194800,2023-09-01,2023-09-11,2023-09-22,Forsinket,11,Netto 10,CPT,Åpen anbudskonkurranse,IT,3.2,14,Medium
FAK-0229,LEV-023,66500,2023-09-01,2023-10-31,2023-10-31,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0230,LEV-039,112300,2023-09-02,2023-11-01,2023-11-12,Forsinket,11,Netto 60,DPU,Enkeltkontrakt,Transport,9.4,8,Medium
FAK-0231,LEV-013,141900,2023-09-03,2023-09-13,2023-09-12,Betalt,0,Netto 10,CPT,Enkeltkontrakt,Konsulenttjenester,1.8,18,Lav
FAK-0232,LEV-017,476300,2023-09-05,2023-11-04,2023-12-04,Forsinket,30,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0233,LEV-006,53100,2023-09-05,2023-11-04,2023-11-15,Forsinket,11,Netto 60,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0234,LEV-012,410500,2023-09-07,2023-12-06,2023-12-02,Betalt,0,Netto 90,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0235,LEV-035,279600,2023-09-08,2023-12-07,2024-01-24,Forsinket,48,Netto 90,FCA,Minikonkurranse,Konsulenttjenester,22.9,11,Høy
FAK-0236,LEV-012,453900,2023-09-09,2023-12-08,2023-12-26,Forsinket,18,Netto 90,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0237,LEV-036,176800,2023-09-10,2023-11-09,2023-11-30,Forsinket,21,Netto 60,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0238,LEV-023,27100,2023-09-10,2023-11-09,2023-11-09,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0239,LEV-020,94100,2023-09-10,2023-12-09,2023-12-05,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,Energi,4.0,13,Medium
FAK-0240,LEV-001,75300,2023-09-11,2023-12-10,2023-12-10,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0241,LEV-036,202000,2023-09-11,2023-10-11,2023-10-11,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0242,LEV-001,17600,2023-09-11,2023-12-10,2023-12-05,Betalt,0,Netto 90,CIP,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0243,LEV-026,162600,2023-09-15,2023-10-15,2023-10-13,Betalt,0,Netto 30,CIP,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0244,LEV-028,126200,2023-09-16,2023-09-30,2023-09-30,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0245,LEV-035,220800,2023-09-22,2023-12-21,2023-12-25,Forsinket,4,Netto 90,CPT,Minikonkurranse,Konsulenttjenester,22.9,11,Høy
FAK-0246,LEV-003,684100,2023-09-24,2023-12-23,2024-02-03,Forsinket,42,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0247,LEV-006,290700,2023-09-24,2023-11-23,2023-11-15,Betalt,0,Netto 60,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0248,LEV-002,49000,2023-09-25,2023-11-24,2024-01-21,Forsinket,58,Netto 60,EXW,Rammeavtale,Renhold,11.1,23,Høy
FAK-0249,LEV-008,39000,2023-09-26,2023-10-26,2023-11-27,Forsinket,32,Netto 30,DAP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0250,LEV-008,48100,2023-09-28,2023-10-28,2023-12-24,Forsinket,57,Netto 30,CIP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0251,LEV-015,1235500,2023-09-28,2023-10-28,2023-10-28,Betalt,0,Netto 30,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0252,LEV-037,520800,2023-09-28,2023-10-08,2023-11-05,Forsinket,28,Netto 10,DAP,Rammeavtale,Konsulenttjenester,25.2,14,Kritisk
FAK-0253,LEV-034,366100,2023-09-29,2023-10-09,2023-10-03,Betalt,0,Netto 10,DAP,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0254,LEV-032,1182400,2023-09-29,2023-10-13,2023-10-11,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0255,LEV-014,134100,2023-09-30,2023-11-14,2023-11-12,Betalt,0,Netto 45,DAP,Rammeavtale,IT,4.4,29,Medium
FAK-0256,LEV-024,67400,2023-10-01,2023-10-11,2023-10-11,Betalt,0,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0257,LEV-028,86300,2023-10-02,2023-10-16,2023-10-14,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0258,LEV-003,549800,2023-10-02,2023-12-31,2023-12-23,Betalt,0,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0259,LEV-022,26100,2023-10-03,2023-10-17,2023-10-11,Betalt,0,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0260,LEV-017,292000,2023-10-03,2023-10-17,2023-12-10,Forsinket,54,Netto 14,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0261,LEV-004,663900,2023-10-05,2024-01-03,2023-12-24,Betalt,0,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0262,LEV-009,31600,2023-10-06,2023-11-20,2023-11-17,Betalt,0,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0263,LEV-025,40400,2023-10-08,2023-10-18,2023-11-27,Forsinket,40,Netto 10,DPU,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0264,LEV-032,127000,2023-10-08,2023-11-07,2023-12-04,Forsinket,27,Netto 30,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0265,LEV-006,26600,2023-10-09,2023-10-19,2023-10-15,Betalt,0,Netto 10,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0266,LEV-015,353300,2023-10-09,2023-11-08,2023-11-07,Betalt,0,Netto 30,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0267,LEV-019,262100,2023-10-10,2023-10-24,2023-11-27,Forsinket,34,Netto 14,CPT,Minikonkurranse,IT,13.9,32,Høy
FAK-0268,LEV-024,53500,2023-10-13,2023-10-23,2023-11-29,Forsinket,37,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0269,LEV-004,441400,2023-10-17,2024-01-15,2024-02-21,Forsinket,37,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0270,LEV-037,68700,2023-10-17,2024-01-15,2024-01-14,Betalt,0,Netto 90,EXW,Rammeavtale,Konsulenttjenester,25.2,14,Kritisk
FAK-0271,LEV-006,159300,2023-10-19,2023-10-29,2023-10-24,Betalt,0,Netto 10,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0272,LEV-005,189600,2023-10-20,2023-10-30,2023-10-23,Betalt,0,Netto 10,CFR,Rammeavtale,IT,7.4,33,Medium
FAK-0273,LEV-009,58800,2023-10-20,2023-12-04,2023-12-04,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0274,LEV-026,266200,2023-10-21,2023-11-20,2023-11-12,Betalt,0,Netto 30,FCA,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0275,LEV-020,211700,2023-10-23,2024-01-21,2024-01-11,Betalt,0,Netto 90,DPU,Åpen anbudskonkurranse,Energi,4.0,13,Medium
FAK-0276,LEV-028,87300,2023-10-23,2023-11-06,2023-11-07,Forsinket,1,Netto 14,DDP,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0277,LEV-009,77300,2023-10-24,2023-12-08,2024-01-10,Forsinket,33,Netto 45,DAP,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0278,LEV-001,16900,2023-10-25,2024-01-23,2024-01-17,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0279,LEV-036,481000,2023-10-25,2023-11-24,2023-11-22,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0280,LEV-002,8500,2023-10-25,2023-12-24,2024-01-20,Forsinket,27,Netto 60,CIF,Rammeavtale,Renhold,11.1,23,Høy
FAK-0281,LEV-011,35300,2023-10-26,2023-11-09,2023-11-05,Betalt,0,Netto 14,CIF,Enkeltkontrakt,Renhold,12.2,17,Høy
FAK-0282,LEV-015,956700,2023-10-26,2023-11-05,2023-11-21,Forsinket,16,Netto 10,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0283,LEV-033,381600,2023-10-27,2023-11-06,2023-11-04,Betalt,0,Netto 10,CFR,Rammeavtale,Konsulenttjenester,12.4,12,Høy
FAK-0284,LEV-010,17800,2023-10-29,2023-11-08,2023-11-23,Forsinket,15,Netto 10,DDP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0285,LEV-018,19000,2023-10-30,2023-11-13,2023-11-28,Forsinket,15,Netto 14,CFR,Rammeavtale,Renhold,14.1,15,Høy
FAK-0286,LEV-025,50100,2023-10-30,2023-11-09,2023-11-20,Forsinket,11,Netto 10,FCA,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0287,LEV-010,28400,2023-11-03,2023-11-13,2023-11-29,Forsinket,16,Netto 10,DDP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0288,LEV-030,381500,2023-11-04,2023-11-14,2023-11-05,Betalt,0,Netto 10,FCA,Rammeavtale,Konsulenttjenester,10.3,17,Høy
FAK-0289,LEV-030,554800,2023-11-05,2023-11-15,2023-11-10,Betalt,0,Netto 10,FCA,Rammeavtale,Konsulenttjenester,10.3,17,Høy
FAK-0290,LEV-016,546800,2023-11-07,2024-01-06,2023-12-28,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0291,LEV-036,317100,2023-11-08,2023-12-08,2023-11-28,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0292,LEV-025,54100,2023-11-09,2023-11-19,2023-11-11,Betalt,0,Netto 10,DPU,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0293,LEV-024,90100,2023-11-09,2023-11-19,2023-11-30,Forsinket,11,Netto 10,DPU,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0294,LEV-033,573300,2023-11-10,2023-11-20,2023-11-14,Betalt,0,Netto 10,CFR,Rammeavtale,Konsulenttjenester,12.4,12,Høy
FAK-0295,LEV-025,14500,2023-11-11,2023-11-21,2023-11-24,Forsinket,3,Netto 10,FCA,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0296,LEV-005,445000,2023-11-12,2023-11-22,2024-01-11,Forsinket,50,Netto 10,CFR,Rammeavtale,IT,7.4,33,Medium
FAK-0297,LEV-020,233100,2023-11-13,2024-02-11,2024-04-03,Forsinket,52,Netto 90,DDP,Åpen anbudskonkurranse,Energi,4.0,13,Medium
FAK-0298,LEV-015,323500,2023-11-13,2023-12-13,2023-12-11,Betalt,0,Netto 30,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0299,LEV-036,566100,2023-11-13,2023-12-13,2023-12-05,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0300,LEV-001,66100,2023-11-14,2024-02-12,2024-03-22,Forsinket,39,Netto 90,CIP,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0301,LEV-017,675200,2023-11-14,2024-01-13,2024-01-10,Betalt,0,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0302,LEV-023,11900,2023-11-15,2024-01-14,2024-02-01,Forsinket,18,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0303,LEV-004,698100,2023-11-15,2024-02-13,2024-02-06,Betalt,0,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0304,LEV-022,67400,2023-11-17,2023-12-01,2023-11-30,Betalt,0,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0305,LEV-015,814900,2023-11-19,2023-12-19,2023-12-18,Betalt,0,Netto 30,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0306,LEV-004,206600,2023-11-19,2024-02-17,2024-02-16,Betalt,0,Netto 90,DPU,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0307,LEV-001,77100,2023-11-20,2024-02-18,2024-02-11,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0308,LEV-001,117400,2023-11-20,2024-02-18,2024-02-14,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0309,LEV-009,118400,2023-11-24,2024-01-08,2023-12-31,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0310,LEV-034,1355500,2023-11-25,2023-12-05,2023-11-30,Betalt,0,Netto 10,DAP,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0311,LEV-003,329900,2023-11-26,2024-02-24,2024-02-14,Betalt,0,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0312,LEV-017,669500,2023-11-27,2024-01-26,2024-01-18,Betalt,0,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0313,LEV-036,190900,2023-11-27,2023-12-27,2023-12-22,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0314,LEV-018,30400,2023-11-28,2023-12-12,2023-12-16,Forsinket,4,Netto 14,CFR,Rammeavtale,Renhold,14.1,15,Høy
FAK-0315,LEV-016,624100,2023-12-01,2024-01-30,2024-01-21,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0316,LEV-006,80000,2023-12-02,2024-01-31,2024-01-25,Betalt,0,Netto 60,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0317,LEV-026,630300,2023-12-04,2024-01-03,2024-01-06,Forsinket,3,Netto 30,CIP,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0318,LEV-034,1139800,2023-12-05,2023-12-15,2023-12-11,Betalt,0,Netto 10,CPT,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0319,LEV-001,36300,2023-12-06,2024-03-05,2024-03-04,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0320,LEV-012,476800,2023-12-08,2024-02-06,2024-02-01,Betalt,0,Netto 60,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0321,LEV-019,321800,2023-12-08,2023-12-22,2024-02-16,Forsinket,56,Netto 14,FAS,Minikonkurranse,IT,13.9,32,Høy
FAK-0322,LEV-018,40200,2023-12-08,2023-12-18,2023-12-10,Betalt,0,Netto 10,CFR,Rammeavtale,Renhold,14.1,15,Høy
FAK-0323,LEV-031,730400,2023-12-08,2024-02-06,2024-01-27,Betalt,0,Netto 60,EXW,Åpen anbudskonkurranse,IT,12.9,17,Høy
FAK-0324,LEV-015,318300,2023-12-08,2023-12-18,2023-12-11,Betalt,0,Netto 10,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0325,LEV-038,237000,2023-12-09,2024-03-08,2024-03-01,Betalt,0,Netto 90,FOB,Rammeavtale,Energi,16.6,44,Høy
FAK-0326,LEV-009,46900,2023-12-10,2024-01-24,2024-01-18,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0327,LEV-013,324700,2023-12-11,2023-12-21,2023-12-16,Betalt,0,Netto 10,CPT,Enkeltkontrakt,Konsulenttjenester,1.8,18,Lav
FAK-0328,LEV-034,478900,2023-12-11,2023-12-25,2023-12-15,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,2.2,32,Medium
FAK-0329,LEV-016,539100,2023-12-12,2024-02-10,2024-02-01,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0330,LEV-019,292900,2023-12-14,2023-12-28,2023-12-18,Betalt,0,Netto 14,FOB,Minikonkurranse,IT,13.9,32,Høy
FAK-0331,LEV-037,215800,2023-12-22,2024-01-01,2024-01-01,Betalt,0,Netto 10,DDP,Rammeavtale,Konsulenttjenester,25.2,14,Kritisk
FAK-0332,LEV-023,7100,2023-12-23,2024-02-21,2024-02-17,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0333,LEV-007,653900,2023-12-24,2024-01-23,2024-01-21,Betalt,0,Netto 30,CIP,Rammeavtale,IT,14.7,25,Høy
FAK-0334,LEV-001,19600,2023-12-24,2024-03-23,2024-03-15,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0335,LEV-012,465700,2023-12-26,2024-03-25,2024-05-21,Forsinket,57,Netto 90,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0336,LEV-017,164100,2023-12-26,2024-01-09,2024-01-18,Forsinket,9,Netto 14,CFR,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0337,LEV-027,506600,2023-12-27,2024-01-06,2024-01-06,Betalt,0,Netto 10,CPT,Åpen anbudskonkurranse,IT,3.2,14,Medium
FAK-0338,LEV-031,341300,2023-12-27,2024-02-25,2024-02-15,Betalt,0,Netto 60,FCA,Åpen anbudskonkurranse,IT,12.9,17,Høy
FAK-0339,LEV-029,238700,2023-12-29,2024-03-28,2024-03-25,Betalt,0,Netto 90,EXW,Rammeavtale,Bygg,3.5,8,Medium
FAK-0340,LEV-017,84500,2023-12-29,2024-02-27,2024-02-23,Betalt,0,Netto 60,DPU,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0341,LEV-003,106900,2023-12-31,2024-03-30,2024-03-23,Betalt,0,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0342,LEV-038,158800,2023-12-31,2024-03-30,2024-05-29,Forsinket,60,Netto 90,FOB,Rammeavtale,Energi,16.6,44,Høy
